,Name,Age,Hometown,Boarded,Position,Lifeboat,Survived,latitude,longitude,altitude,country
48,"Bradshaw, Mr. J.A.",43,"Southampton, Hampshire, England",Southampton,First Class Plate Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
49,"Brewster, Mr. George H.",48,"Southampton, Hampshire, England",Belfast,First Class Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
50,"Bride, Mr. Harold Sydney",22,"Southampton, Hampshire, England",Belfast,Assistant Telegraphist,B,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
51,"Bristow, Mr. Robert Charles",31,"Southampton, Hampshire, England",Southampton,Third Class Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
52,"Bristow, Mr. Harry",33,"Looe, Cornwall, England",Southampton,First Class Saloon Steward,,False,50.3508088,-4.4548396,0.0,United Kingdom
53,"Brookman, Mr, John",27,"Southampton, Hampshire, England",Southampton,Third Class Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
54,"Broom, Mr. H.",33,"Cowes, Isle of Wight, England",Belfast,Bath Steward,,False,50.757624750000005,-1.3035640666867363,0.0,United Kingdom
55,"Broome, Mr. Athol Frederick",30,"Southampton, Hampshire, England",Southampton,Verandah Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
56,"Brown, Mr. Edward",34,"Southampton, Hampshire, England",Belfast,Saloon Steward,A,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
57,"Brown, Mr. Walter James",28,"Southampton, Hampshire, England",Belfast,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
58,"Buckley, Mr. H.E.",34,"Southampton, Hampshire, England",Southampton,Assistant Vegetable Cook,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
59,"Bull, Mr. W.",30,"Southampton, Hampshire, England",Southampton,Scullion,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
60,"Bulley, Mr. Henry Ashburnham",21,"Southampton, Hampshire, England",Southampton,Boots,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
61,"Bunnell, Mr. Wilfred",20,"Southampton, Hampshire, England",Belfast,Plate Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
62,"Burgess, Mr. Charles Reginald",18,"Southampton, Hampshire, England",Southampton,Extra Third Baker,15,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
63,"Burke, Mr. Richard Edward",30,"Chandler's Ford, Hampshire, England",Belfast,Lounge Steward,,False,50.9828402,-1.3833123,0.0,United Kingdom
64,"Burke, Mr. William",31,"Southampton, Hampshire, England",Belfast,Saloon Steward,10,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
65,"Burr, Mr. Ewart",29,"Woolston, Hampshire, England",Southampton,Saloon Steward,,False,51.3017496,-1.0535822,0.0,United Kingdom
66,"Burrage, Mr. Alfred",20,"Southampton, Hampshire, England",Southampton,Plate Steward,13,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
67,"Butt, Mr. Robert Henry",22,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
68,"Butterworth, Mr. John",23,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
69,"Byrne, Mr. J.E.",31,"Ilford, London, England",Southampton,Bedroom Steward,,False,51.5582734,0.0711669,0.0,United Kingdom
70,"Campbell, Mr. Donald S.",25,"Southampton, Hampshire, England",Southampton,Third Class Clerk,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
71,"Carney, Mr. William",31,"Liverpool, Lancashire, England",Southampton,Lift Steward,,False,53.6326141,-2.8105631,0.0,United Kingdom
72,"Cartwright, Mr. James Edward",32,"Southampton, Hampshire, England",Belfast,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
73,"Casswill, Mr. Charles",32,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
74,"Caton, Miss Annie",50,"London, England",Southampton,Turkish Bath Stewardess,11,True,51.5073219,-0.1276474,0.0,United Kingdom
75,"Caunt, Mr. William Ewart",27,"Southampton, Hampshire, England",Southampton,Grill Cook,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
76,"Cave, Mr. Herbert",34,"Southampton, Hampshire, England",Belfast,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
77,"Cecil, Mr. C.",20,"Southampton, Hampshire, England",Southampton,Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
78,"Chapman, Mr. Joseph Charles",32,"Southampton, Hampshire, England",Southampton,Boots,9,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
79,"Charman, Mr. John",25,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
80,"Cheverton, Mr. William Edward",27,"Newport, Pembrokeshire, Wales",Belfast,Saloon Steward,,False,52.0169568,-4.833143,0.0,United Kingdom
81,"Chitty, Mr. Archibald George",28,"Southampton, Hampshire, England",Southampton,Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
82,"Chitty, Mr. George Henry",52,"Southampton, Hampshire, England",Southampton,Baker,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
83,"Christmas, Mr. H.",33,"Southampton, Hampshire, England",Southampton,Assistant Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
84,"Coleman, Mr. Albert Edward",28,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
85,"Coleman, Mr. John",57,"Itchen, Hampshire, England",Southampton,Mess Steward,,False,51.0893892,-1.2887593,0.0,United Kingdom
86,"Colgan, Mr. E. Joseph",33,"Southampton, Hampshire, England",Southampton,Scullion,13,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
87,"Collins, Mr. John",17,"Belfast, Ireland",Southampton,Scullion,B,True,54.5964411,-5.9302761,0.0,United Kingdom
88,"Conway, Mr. P.W.",25,"London, England",Belfast,Saloon Steward,,False,51.5073219,-0.1276474,0.0,United Kingdom
89,"Cook, Mr. George",42,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
90,"Coombs, Mr. Augustus Charles",38,"Southampton, Hampshire, England",Southampton,Cook,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
91,"Corben, Mr. Ernest Theodore",27,"Southampton, Hampshire, England",Southampton,Assistant Printer Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
92,"Coutin, Mr. Auguste Louis",28,"Southampton, Hampshire, England",Southampton,Entree Cook,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
93,"Cox, Mr. William Denton",29,"Southampton, Hampshire, England",Southampton,Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
94,"Crafter, Mr. Frederick",27,"Southampton, Hampshire, England",Southampton,Saloon Steward,15,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
95,"Crawford, Mr. Alfred",36,"Southampton, Hampshire, England",Belfast,Bedroom Steward,8,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
96,"Crisp, Mr. Albert Hector",35,"Southampton, Hampshire, England",Belfast,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
97,"Crispin, Mr. William",32,"Eastleigh, Hampshire, England",Southampton,Glory Hole Steward,,False,50.9202316,-1.299273639634381,0.0,United Kingdom
98,"Crosby, Mr. J. Bertram",42,"London, England",Southampton,Turkish Bath Attendant,,False,51.5073219,-0.1276474,0.0,United Kingdom
99,"Crowe, Mr. George Frederick",30,"Southampton, Hampshire, England",Southampton,Saloon Steward,14,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
100,"Crumplin, Mr. Charles",35,"Southampton, Hampshire, England",Belfast,Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
101,"Cullen, Mr. Charles",45,"Southampton, Hampshire, England",Belfast,Bedroom Steward,11,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
102,"Cunningham, Mr. Andrew",35,"Southampton, Hampshire, England",Belfast,Bedroom Steward,4,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
104,"Dashwood, Mr. William George",19,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
105,"Davies, Mr. Gordon Raleigh",33,"Southampton, Hampshire, England",Belfast,Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
106,"Davies, Mr. John James",27,"Southampton, Hampshire, England",Belfast,Extra 2nd Baker,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
107,"Davies, Mr. Robert J.",26,"Southampton, Hampshire, England",Belfast,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
108,"Dean, Mr. George H.",19,"Southampton, Hampshire, England",Southampton,Assistant Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
109,"Deeble, Mr. Alfred Arnold",29,"Southampton, Hampshire, England",Belfast,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
110,"Derrett, Mr. Albert",26,"Southampton, Hampshire, England",Belfast,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
111,"Deslands, Mr. Percival Stainer",36,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
112,"Desvernine, Mr. Louis Gabriel",20,"Southampton, Hampshire, England",Southampton,Assistant Pastry Cook,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
113,"Dinenage, Mr. James Richard",47,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
114,"Dodd, Mr. George Charles",44,"Southampton, Hampshire, England",Belfast,Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
115,"Dolby, Mr. Joseph",36,"Southampton, Hampshire, England",Belfast,Reception Room Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
116,"Donoghue, Mr. Frank",35,"Southampton, Hampshire, England",Belfast,Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
117,"Doughty, Mr. W.",22,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
118,"Dunford, Mr. William",41,"Southampton, Hampshire, England",Southampton,Hospital Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
119,"Dyer, Mr. William",31,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
120,"Edbrooke, Mr. F.",24,"Southampton, Hampshire, England",Southampton,Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
121,"Ede, Mr. George B.",22,"Southampton, Hampshire, England",Southampton,Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
122,"Edge, Mr. Frederick William",37,"Southampton, Hampshire, England",Southampton,Deck Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
123,"Edwards, Mr. Clement",38,"Southampton, Hampshire, England",Southampton,Assistant Pantryman Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
124,"Egg, Mr. W.H.",34,"London, England",Southampton,Steward,,False,51.5073219,-0.1276474,0.0,United Kingdom
125,"Ellis, Mr. John Bertram",30,"Southampton, Hampshire, England",Southampton,Assistant Vegetable Cook,2,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
126,"Ennis, Mr. Walter",35,"Southport, Lancashire, England",Southampton,Turkish Bath Attendant,,False,53.6707011,-2.8447537,0.0,United Kingdom
127,"Etches, Mr. Henry Samuel",41,"Southampton, Hampshire, England",Belfast,Bedroom Steward,5,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
128,"Evans, Mr. George Richard",32,"Southampton, Hampshire, England",Belfast,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
129,"Fairall, Mr. Henry",38,"Ryde, Isle of Wight, England",Belfast,Saloon Steward,,False,50.72414995,-1.1727622804957734,0.0,United Kingdom
130,"Farrenden, Mr. Ernest John",32,"Emsworth, Hampshire, England",Belfast,Confectioner,,False,50.8473211,-0.9371343,0.0,United Kingdom
131,"Faulkner, Mr. William Stephen",37,"Southampton, Hampshire, England",Belfast,Bedroom Steward,11,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
132,"Fellowes, Mr. Alfred J.",29,"Southampton, Hampshire, England",Belfast,Boots,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
133,"Feltham, Mr. G.",36,"Southampton, Hampshire, England",Southampton,Vienna Baker,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
134,"Finch, Mr. Harry",18,"Southampton, Hampshire, England",Southampton,Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
135,"Fletcher, Mr. Peter W.",26,"Sholing, Hampshire, England",Belfast,Bugler Steward,,False,50.893264099999996,-1.338103450000002,0.0,United Kingdom
136,"Foley, Mr. William C.",26,"Southampton, Hampshire, England",Southampton,Steward,13,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
137,"Ford, Mr. Ernest",32,"Southampton, Hampshire, England",Southampton,Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
138,"Ford, Mr. F.",37,"Southampton, Hampshire, England",Southampton,Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
139,"Fox, Mr. William Thomas",27,"Ealing, London, England",Southampton,Steward,,False,51.5126553,-0.3051952,0.0,United Kingdom
140,"Franklin, Mr. Alan Vincent",29,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
141,"Freeman, Mr. Ernest Edward Samuel",43,"Southampton, Hampshire, England",Belfast,Deck Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
142,"Geddes, Mr. Richard Charles",31,"Southampton, Hampshire, England",Southampton,Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
143,"Gibbons, Mr. Jacob William",36,"Studland, Dorset, England",Southampton,Saloon Steward,11,True,50.6423774,-1.9525845,0.0,United Kingdom
144,"Giles, Mr. John Robert",30,"Southampton, Hampshire, England",Southampton,Baker,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
145,"Gill, Mr. Joseph Stanley",34,"Southampton, Hampshire, England",Belfast,Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
146,"Gill, Mr. Patrick",38,"Southampton, Hampshire, England",Southampton,Ship's Cook,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
147,"Gold, Mrs. Katherine (née Cook)",42,"Southampton, Hampshire, England",Southampton,Stewardess,11,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
148,"Gollop, Mr. F.",28,"Southampton, Hampshire, England",Southampton,Assistant Passage Cook,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
149,"Goshawk, Mr. Arthur James",31,"Southampton, Hampshire, England",Belfast,Third Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
150,"Gregson, Miss Mary",44,"Southampton, Hampshire, England",Southampton,Stewardess,16,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
151,"Gunn, Mr. Joseph Alfred",28,"Southampton, Hampshire, England",Southampton,Assistant Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
152,"Guy, Mr. Edward John",28,"Southampton, Hampshire, England",Southampton,Boots,5,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
153,"Halford, Mr. Richard",22,"Southampton, Hampshire, England",Southampton,Steward,15,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
154,"Hall, Mr. F.A.J.",38,"London, England",Southampton,Scullion,,False,51.5073219,-0.1276474,0.0,United Kingdom
155,"Hamblyn, Mr. Ernest William",41,"Southampton, Hampshire, England",Southampton,Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
156,"Hamilton, Mr. Ernest",25,"Southampton, Hampshire, England",Belfast,Assistant Smoke Room Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
157,"Harding, Mr. A.",20,"Swaythling, Hampshire, England",Southampton,Assistant Pantry Steward,,False,50.9347339,-1.3512604,0.0,United Kingdom
158,"Hardwick, Mr. Reginald",21,"Southampton, Hampshire, England",Southampton,Kitchen Porter,11,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
159,"Hardy, Mr. John T.",37,"Southampton, Hampshire, England",Belfast,Chief 2nd Class Steward,D,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
160,"Harris, Mr. Charles William",19,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
161,"Harris, Mr. Clifford Henry",16,"Southampton, Hampshire, England",Southampton,Bell Boy,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
162,"Harris, Mr. Edward",18,"Winchester, Hampshire, England",Southampton,Assistant Pantryman Steward,,False,51.0612766,-1.3131692,0.0,United Kingdom
163,"Harrison, Mr. Aragon D.",40,"Southampton, Hampshire, England",Southampton,Saloon Steward,9,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
164,"Hart, Mr. John Edward",31,"Southampton, Hampshire, England",Southampton,Third Class Steward,15,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
165,"Hartnell, Mr. Frederick",21,"Southampton, Hampshire, England",Southampton,Saloon Steward,11,True,50.90472085,-1.3587998082396187,0.0,United Kingdom
166,"Hatch, Mr. Hugh",22,"Southampton, Hampshire, England",Southampton,Scullion,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
167,"Hawkesworth, Mr. James",38,"Southampton, Hampshire, England",Southampton,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
168,"Hawkesworth, Mr. William Walter",38,"Southampton, Hampshire, England",Southampton,Deck Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
169,"Hayter, Mr. Arthur",44,"Southampton, Hampshire, England",Belfast,Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
170,"Heinen, Mr. Joseph",30,"Lewisham, London, England",Southampton,Saloon Steward,,False,51.4624325,-0.0101331,0.0,United Kingdom
171,"Hendy, Mr. Edward Martin",38,"Southampton, Hampshire, England",Belfast,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
172,"Hensford, Mr. Herbert George",29,"Southampton, Hampshire, England",Southampton,Butcher,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
173,"Hewett, Mr. Thomas",37,"Liverpool, Lancashire, England",Belfast,Bedroom Steward,,False,53.6326141,-2.8105631,0.0,United Kingdom
174,"Hill, Mr. H.P.",36,"Southampton, Hampshire, England",Southampton,Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
175,"Hill, Mr. James Colston",38,"Southampton, Hampshire, England",Belfast,Bedroom Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
176,"Hinckley, Mr. George",35,"Southampton, Hampshire, England",Southampton,Bath Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
177,"Hine, Mr. William Edward",36,"Southampton, Hampshire, England",Southampton,Baker,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
178,"Hiscock, Mr. S.",22,"Southampton, Hampshire, England",Southampton,Plate Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
179,"Hoare, Mr. Leonard James",21,"Southampton, Hampshire, England",Belfast,Saloon Steward,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
180,"Hogg, Mr. Charles William",37,"Liverpool, Lancashire, England",Southampton,Bedroom Steward,,False,53.6326141,-2.8105631,0.0,United Kingdom
181,"Hogue, Mr. E.",22,"London, England",Southampton,Plate Steward,,False,51.5073219,-0.1276474,0.0,United Kingdom
182,"Holland, Mr. Thomas",28,"Liverpool, Lancashire, England",Belfast,Reception Steward,,False,53.6326141,-2.8105631,0.0,United Kingdom
183,"Holloway, Mr. Sidney",20,"Southampton, Hampshire, England",Southampton,Clothes Presser,,False,50.90472085,-1.3587998082396187,0.0,United Kingdom
