,Name,Age,Hometown,Boarded,Destination,Lifeboat,Body,Home country,Regio
1014,"McNamee, Mr. Neal",27,"Convoy, Donegal, Ireland",Southampton,"Philadelphia, Pennsylvania, US",,,England,Ireland
63,"Case, Mr. Howard Brown",49,"Ascot, Berkshire, England, UK",Southampton,"Rochester, New York, US",,,,South East
579,"Wallcroft, Miss Ellen ""Nellie""",36,"Maidenhead, Berkshire, England",Southampton,"Mamaroneck, New York, US",14,,,South East
150,"Hawksford, Mr. Walter James",45,"Kingston, Surrey, England, UK",Southampton,New York City,3,,,South East
836,"Green, Mr. George Henry",40,"Dorking, Surrey",Southampton,"Lead, South Dakota, US",,,England,South East
127,"Gee, Mr. Arthur H.",47,"St Annes-on-Sea, Lancashire, England, UK",Southampton,"Mexico City, Mexico",,275MB,,North West
158,"Hipkins, Mr. William Edward",55,"Birmingham, West Midlands, England, UK",Southampton,New York City,,,,West Midlands
623,"Allen, Mr. William Henry",35,"Birmingham, West Midlands",Southampton,New York City,,,England,West Midlands
169,"Ismay, Mr. Joseph Bruce",49,"Liverpool, Merseyside, England, UK",Southampton,New York City,C,,,North West
170,"and valet, Mr. John Richard Fry",39,"Liverpool, Merseyside, England, UK",Southampton,"New York, New York, US",,,,North West
171,"and secretary, Mr. William Henry Harrison",45,"Wallasey, Merseyside, England, UK",Southampton,"New York, New York, US",,110MB,,North West
244,"Rowe, Mr. Alfred G.",59,"Liverpool, Merseyside, England, UK",Southampton,New York City,,109MB,,North West
378,"Clarke, Mr. John Frederick Preston[63]",30,"Liverpool, Merseyside, England",Southampton,New York City,,202MB,,North West
408,"Faunthorpe, Mr. Harry Bartram",40,"Liverpool, Merseyside, England, UK","Philadelphia, Pennsylvania, US",286MB,,,,North West
413,"Fynney, Mr. Joseph J.",35,"Liverpool, Merseyside, England, UK",Southampton,"Montreal, Quebec, Canada",322M,,,North West
416,"Garside, Miss Ethel",34,"Liverpool, Merseyside, England",Southampton,"Brooklyn, New York, US",12,,,North West
417,"Gaskell, Mr. William Alfred",18,"Liverpool, Merseyside, England",Southampton,"Montreal, Quebec, Canada",,,,North West
557,"Sedgwick, Mr. Charles Frederick Waddington",25,"Liverpool, Merseyside, England",Southampton,"Minatitlán, Veracruz, Mexico",,,,North West
761,"Davison, Mr. Thomas Henry ""Harry""",32,"Liverpool, Merseyside",Southampton,"Bedford, Indiana, US",,,England,North West
762,"Davison, Mrs. Mary Elizabeth",34,"Liverpool, Merseyside",Southampson,"Bedford, Indiana, US",16,,England,North West
1229,"Storey, Mr. Thomas",51,"Liverpool, Merseyside",Southampton,New York City,,261MB,England,North West
173,"Julian, Mr. Henry Forbes",50,"Torquay, Devon, England, UK",Southampton,"San Francisco, US",,,,South West
336,"Banfield, Mr. Frederick James",28,"Plymouth, Devon, England",Southampton,"Houghton, Michigan, US",,,,South West
451,"Hocking, Mr. Samuel James Metcalfe",36,"Devonport, Devon, England",Southampton,"Middletown, Connecticut, US",,,,South West
535,"Phillips, Mr. Escott Robert",42,"Ilfracombe, Devon, England",Southampton,"New Brighton, Pennsylvania, US",,,,South West
536,"Phillips, Miss Alice Frances Louisa",21,"Ilfracombe, Devon, England",Southampton,"New Brighton, Pennsylvania, US",12,,,South West
542,"Quick, Mrs. Jane (née Richards)",33,"Plymouth, Devon, England",Southampton,"Detroit, Michigan, US",11,,,South West
543,"Quick, Miss Winnifred Vera",8,"Plymouth, Devon, England",Southampton,"Detroit, Michigan, US",11,,,South West
544,"Quick, Miss Phyllis May",2,"Plymouth, Devon, England",Southampton,"Detroit, Michigan, US",11,,,South West
554,"Rogers, Mr. Reginald Harry",18,"Tavistock, Devon, England",Southampton,"Wilkes Barre, Pennsylvania, US",,,,South West
576,"Turpin, Mr. William John Robert",29,"Plymouth, Devon, England",Southampton,"Salt Lake City, Utah, US",,,,South West
577,"Turpin, Mrs. Dorothy Ann (née Wonnacott)",27,"Plymouth, Devon, England",Southampton,"Salt Lake City, Utah, US",,,,South West
686,"Braund, Mr. Lewis Richard",29,"Bridgerule, Devon",Southampton,"Qu'Appelle Valley, Saskatchewan, Canada",,,England,South West
687,"Braund, Mr. Owen Harris",22,"Bridgerule, Devon",Southampton,"Qu'Appelle Valley, Saskatchewan, Canada",,,England,South West
982,"Lovell, Mr. John Hall (""Henry"")",20,"Northlew, Devon",Southampton,New York City,,,England,South West
1073,"Nosworthy, Mr. Richard Cater",21,"Newton Abbot, Devon",Southampton,"Buffalo, New York, US",,,England,South West
1123,"Perkin, Mr. John Henry",22,"Holsworthy, Devon",Southampton,"Saskatoon, Saskatchewan, Canada",,,England,South West
216,"Nicholson, Mr. Arthur Ernest",64,"Shanklin, Isle of Wight, England, UK",Southampton,New York City,,263MB,,South East
252,"Saalfeld, Mr. Adolphe",47,"Manchester, England, UK",Southampton,New York City,3,,,North West
599,"Wilkinson, Miss Elizabeth Anne (alias Mrs. Elizabeth Faunthorpe)",29,"Manchester, England",Southampton,"Philadelphia, Pennsylvania, US",16,,,North West
877,"Hyman, Mr. Solomon Abraham",34,Manchester,Southampton,"Springfield, Massachusetts, US",C,,England,North West
978,"Livshin, Mr. David (""Abraham Harmer"")",25,Manchester,Southampton,"Montreal, Quebec, Canada",,,England,North West
261,"Smart, Mr. John Montgomery",56,"Kildale, North Yorkshire, England, UK",Southampton,New York City,,,,Yorkshire and the Humber
329,"Andrew, Mr. Frank Thomas",30,"Redruth, Cornwall, England",Southampton,"Houghton, Michigan, US",,,,South West
333,"Bailey, Mr. Percy Andrew",18,"Penzance, Cornwall, England",Southampton,"Akron, Ohio, US",,,,South West
347,"Berriman, Mr. William John",23,"St. Ives, Cornwall, England",Southampton,"Calumet, Michigan, US",,,,South West
368,"Carbines, Mr. William",19,"St. Ives, Cornwall, England",Southampton,"Houghton, Michigan, US",,18MB,,South West
372,"Chapman, Mr. John Henry",36,"Liskeard, Cornwall, England",Southampton,"Spokane, Washington, US",,17MB,,South West
373,"Chapman, Mrs. Sara Elizabeth (née Lawry)",28,"Liskeard, Cornwall, England",Southampton,"Spokane, Washington, US",,,,South West
388,"Cotterill, Mr. Henry ""Harry""",20,"Penzance, Cornwall, England",Southampton,"Akron, Ohio, US",,,,South West
391,"Davies, Mrs. Elizabeth Agnes Mary (née White)",48,"St. Ives, Cornwall, England UK",Southampton,"Houghton, Michigan, US",14,,,South West
392,"Davies, Master John Morgan Jr.",8,"St. Ives, Cornwall, England UK",Southampton,"Houghton, Michigan, US",14,,,South West
409,"Fillbrook, Mr. Joseph Charles",18,"Truro, Cornwall, England, UK","Houghton, Michigan, US",,,,,South West
414,"Gale, Mr. Harry",38,"Harrowbarrow, Cornwall, England, UK",Southampton,"Clear Creek, Colorado, US",,,,South West
415,"Gale, Mr. Shadrach",33,"Harrowbarrow, Cornwall, England, UK",Southampton,"Clear Creek, Colorado, US",,,,South West
419,"Gilbert, Mr. William",47,"Carleens, Cornwall, England",Southampton,"Butte, Montana, US",,,,South West
420,"Giles, Mr. Edgar",21,"Porthleven, Cornwall, England",Southampton,"Camden, New Jersey, US",,,,South West
421,"Giles, Mr. Frederick Edward",20,"Porthleven, Cornwall, England",Southampton,"Camden, New Jersey, US",,,,South West
448,"Hocking, Mrs. Elizabeth ""Eliza"" (née Neads)",54,"Penzance, Cornwall, England",Southampton,"Akron, Ohio, US",4,,,South West
450,"Hocking, Miss Ellen ""Nellie""",20,"Penzance, Cornwall, England",Southampton,"Akron, Ohio, US",4,,,South West
453,"Hold, Mr. Stephen",44,"Porthoustock, Cornwall, England",Southampton,"Sacramento, California, US",,,,South West
454,"Hold, Mrs. Annie Margaret (née Hill)",29,"Porthoustock, Cornwall, England",Southampton,"Sacramento, California, US",10,,,South West
467,"Jenkin, Mr. Stephen Curnow",32,"St. Ives, Cornwall, England",Southampton,"Houghton, Michigan, US",,,,South West
500,"Matthews, Mr. William John",30,"St Austell, Cornwall, England",Southampton,"La Salle, Illinois, US",,,,South West
522,"Nicholls, Mr. Joseph Charles ""Joe""",19,"St. Ives, Cornwall, England",Southampton,"Houghton, Michigan, US",,101MB,,South West
533,"Pengelly, Mr. Frederick William",19,"Gunnislake, Cornwall, England",Southampton,"Butte, Montana, US",,,,South West
550,"Richards, Mrs. Emily (née Hocking)",23,"Penzance, Cornwall, England",Southampton,"Akron, Ohio, US",4,,,South West
551,"Richards, Master William Rowe",3,"Penzance, Cornwall, England",Southampton,"Akron, Ohio, US",4,,,South West
552,"Richards, Master Sibley George",9 mo.,"Penzance, Cornwall, England",Southampton,"Akron, Ohio, US",4,,,South West
561,"Sincock, Miss Maude",20,"St. Ives, Cornwall, England",Southampton,"Hancock, Michigan, US",11,,,South West
565,"Slemen, Mr. Richard James",35,"Landrake, Cornwall, England",Southampton,"Nashua, New Hampshire, US",,,,South West
567,"Sobey, Mr. Samuel James Hayden",25,"Porthallow, Cornwall, England",Southampton,"Houghton, Michigan, US",,,,South West
582,"Ware, Mr. William Jeffery",23,"Gunnislake, Cornwall, England",Southampton,"Butte, Montana, US",,,,South West
586,"Webber, Miss Susan",37,"Bude, Cornwall, England",Southampton,"Hartford, Connecticut, US",12,,,South West
589,"Wells, Mrs. Addie Dart (née Trevaskis)",29,"Heamoor, Cornwall, England",Southampton,"Akron, Ohio, US",14,,,South West
590,"Wells, Miss Joan",4,"Heamoor, Cornwall, England",Southampton,"Akron, Ohio, US",14,,,South West
591,"Wells, Master Ralph Lester",2,"Heamoor, Cornwall, England",Southampton,"Akron, Ohio, US",14,,,South West
708,"Cann, Mr. Ernest Charles",21,"Penwithick, Cornwall",Southampton,New York City,,,England,South West
773,"Dennis, Mr. William",26,"Week St Mary, Cornwall",Southampton,"Saskatoon, Saskatchewan, Canada",,,England,South West
774,"Dennis, Mr. Samuel",22,"Week St Mary, Cornwall",Southampton,"Saskatoon, Saskatchewan, Canada",,,England,South West
1057,"Nancarrow, Mr. William Henry",33,"St Austell, Cornwall",Southampton,"Yonkers, New York, US",,,England,South West
1153,"Robins, Mr. Alexander A.",50,"St Austell, Cornwall",Southampton,"Yonkers, New York, US",,119MB,England,South West
1154,"Robins, Mrs. Grace Charity (née Laury)",47,"St Austell, Cornwall",Southampton,"Yonkers, New York, US",,7MB,England,South West
1192,"Saundercock, Mr. William Henry",19,"St Austell, Cornwall",Southampton,New York City,,,England,South West
1293,"Wilkes, Mrs. Ellen",47,"Penzance, Cornwall",Southampton,"Akron, Ohio, US",16,,England,South West
360,"Butler, Mr. Reginald Fenton",25,"Southsea, Hampshire, England",Southampton,New York City,,97MB,,South East
376,"Clarke, Mr. Charles Valentine",29,"Netley Abbey, Hampshire, England",Southampton,"San Francisco, California, US",,,,South East
377,"Clarke, Mrs. Ada Maria",28,"Netley Abbey, Hampshire, England",Southampton,"San Francisco, California, US",14,,,South East
382,"Collyer, Mr. Harvey",31,"Bishopstoke, Hampshire, England",Southampton,"Payette, Idaho, US",,,,South East
383,"Collyer, Mrs. Charlotte Annie (née Tate)",31,"Bishopstoke, Hampshire, England",Southampton,"Payette, Idaho, US",14,,,South East
384,"Collyer, Miss Marjorie Charlotte ""Lottie""",8,"Bishopstoke, Hampshire, England",Southampton,"Payette, Idaho, US",14,,,South East
390,"Davies, Mr. Charles Henry",21,"Lyndhurst, Hampshire, England",Southampton,"Eden, Manitoba, Canada",,,,South East
394,"Deacon, Mr. Percy William",20,"Fritham, Hampshire, England, UK",Southampton,"Boston, Massachusetts, US",,,,South East
398,"Dibden, Mr. William",18,"Lyndhurst, Hampshire, England",Southampton,"Eden, Manitoba, Canada",,,,South East
399,"Doling, Mrs. Ada Julia (née Bone)",34,"Southampton, Hampshire, England, UK",Southampton,New York City,?,,,South East
400,"Doling, Miss Elsie",19,"Southampton, Hampshire, England, UK",Southampton,New York City,?,,,South East
444,"Hickman, Mr. Lewis",30,"Fritham, Hampshire, England",Southampton,"The Pas, Manitoba, Canada",,256MB,,South East
445,"Hickman, Mr. Leonard Mark",24,"Fritham, Hampshire, England",Southampton,"Eden, Manitoba, Canada",,,,South East
446,"Hickman, Mr. Stanley George",20,"Fritham, Hampshire, England",Southampton,"The Pas, Manitoba, Canada",,,,South East
452,"Hodges, Mr. Henry Price",50,"Southampton, Hampshire, England",Southampton,"Boston, Massachusetts, US",,149MB,,South East
455,"Hood, Mr. Ambrose Jr.",21,"Fritham, Hampshire, England",Southampton,"Manitoba, Canada",,,,South East
494,"Mack, Mrs. Mary (née Lacy)",57,"Southampton, Hampshire, England",Southampton,New York City,,52MB,,South East
539,"Ponesell, Mr. Martin",34,"Southampton, Hampshire, England",Southampton,New York City,,,,South East
540,"Portaluppi, Mr. Emilio Ilario Giuseppe",34,"Milford, New Hampshire, US",Southampton,"Milford, New Hampshire, US",14,,,South East
566,"Smith, Miss Marion Elsie",39,"Basingstoke, Hampshire, England",Southampton,"Washington, DC US",9,,,South East
714,"Carver, Mr. Alfred John",28,"Southampton, Hampshire",Southampton,New York City,,,England,South East
767,"Dean, Mr. Bertram Frank",25,"Bartley Farm, Hampshire",Southampton,"Wichita, Kansas, US",,,England,South East
768,"Dean, Mrs. Eva Georgetta (née Light)",32,"Bartley Farm, Hampshire",Southampton,"Wichita, Kansas, US",10,,England,South East
769,"Dean, Master Bertram Vere",1,"Bartley Farm, Hampshire",Southampton,"Wichita, Kansas, US",10,,England,South East
770,"Dean, Miss Elizabeth Gladys ""Millvina""",2 mo.,"Bartley Farm, Hampshire",Southampton,"Wichita, Kansas, US",10,,England,South East
781,"Dorking, Mr. Edward Arthur",18,"Liss, Hampshire",Southampton,"Oglesby, Illinois, US",B,,England,South East
1115,"Peacock, Mrs. Edith (née Nile)",26,"Southampton, Hampshire",Southampton,"Elizabeth, New Jersey, US",,,England,South East
1116,"Peacock, Miss Treasteall",4,"Southampton, Hampshire",Southampton,"Elizabeth, New Jersey, US",,,England,South East
1117,"Peacock, Master Albert Edward",7 mo.,"Southampton, Hampshire",Southampton,"Elizabeth, New Jersey, US",,,England,South East
1193,"Sawyer, Mr. Frederick Charles",33,"Basingstoke, Hampshire",Southampton,"Halley, Michigan, US",,284MB,England,South East
1286,"Warren, Mr. Charles William",30,"Portsmouth, Hampshire",Southampton,New York City,,,England,South East
